	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
crm-kv	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie sind routiniert im Umgang mit dem PC und bringen gute Kenntnisse in CRM-KV und ISKV mit.
crm-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in CRM-Software, Lexware und Regiograph wünschenswert
crm-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
crm-systeme	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in SAP sowie CRM-Systemen wünschenswert
crs-systemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								gute Kenntnisse in CRS-Systemen, amadeus, TOMA
dynpros	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Technische Kenntnisse in ABAP-OO, Dynpros, Dialog und Schnittstellenprogrammierung
e-commerce-anwendung	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
e-commerce-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
eprogesa	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Software für Blutbanken, um die Blutkonserven verfolgen zu können etc.							NA
erp	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
erp/crm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Aufbauend auf harmonisierten Stammdaten und einer durchgängigen Prozesslandkarte streben wir ein zentral geführtes IT-System (ERP/CRM) auf Basis SAP mit Anbindung an die technischen Subsysteme unserer Produktionsgesellschaften an.
erp/pps	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								gute Kenntnisse in ERP/PPS
erp-programm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Anwenderkenntnisse in MS-Office sowie Erfahrung im ERP-Programm INFOR
erp-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in MS-Office und ERP-Software
erpsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								konnten im Anschluss mehrjährige Erfahrung im Umgang mit ERPSystemen
erp-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
erp-systemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sehr gute Kenntnisse in MS Office, ERP-Systemen, KANBAN    MS-Office, der sichere Umgang mit ERP-Systemen sowie ein teamfähiges, zielorientiertes Auftreten runden Ihr Profil ab.
erp-systsem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sehr gute EDV-Kenntnisse (Excel, Datenbanken und ERP-Systseme)
erp-sytemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in ERP-Sytemen (SAP oder Navision)
etka	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Elektronischer Teilekatalog des VW-Konzerns							vorzugsweise Beherrschung der Systeme (Care, ETKA, WPS)
factfinder	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in FactFinder, Visual Basic, Adobe Scene 7 und SEO
hr/pi/fi/crm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Fachwissen im Umgang und Support von SAP Systemen (HR/PI/FI/CRM)
infor	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Teamfähigkeit und der sichere Umgang mit den gängigen MS-Office-Tools sowie ERP-Systemen wie infor und SAP runden Ihr Profil ab.    Kenntnisse in Infor
informatica	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
lagersoftware	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								In den unterschiedlichen Bereichen benötigen Sie den Staplerpass und Kenntnisse im Umgang mit Lagersoftware (z. B. SAP).
lagerverwaltungssoftware	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
lagerverwaltungssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								erste Erfahrungen im Umgang mit Lagerverwaltungssystemen von Vorteil (nicht zwingend)
lagerwirtschaftsprogramm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Umgang mit Lagerwirtschaftsprogrammen
lagerwirtschaftssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit Lagerwirtschaftssystemen
lean-tools	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Umfangreiche Kenntnisse in Lean-Tools
lern-managementsystemen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Die TIME for kids Informationstechnologien GmbH, gegründet im Jahre 2001, berät Bildungsinstitutionen hinsichtlich der Ausstattung der Schulen mit IT-Infrastruktur, digitalen Lern-Managementsystemen, Bildungsinhalten und Software.
mis	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
ms dynamics nav	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
msdynamic	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in MSDynamics NAV und SAP
nav	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in MSDynamics NAV und SAP
navision	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
navison	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie sind versierter Anwender der gängigen MS-Office-Programme sowie der ERP-Systeme (Navison bzw. KUMAvision)
navisphere	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Switche, Navisphere und Unisphere Manager
ncts	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								// Sie haben eine erfolgreiche Ausbildung zum Speditionskaufmann/-frau absolviert und verfügen über erste Berufserfahrungen in den Bereichen Seefracht Export und/oder Luftfracht Import / Erfahrungen im Bereich Zoll/Atlas und NCTS Verfahren / Sicherer Umgang mit MS Office Produkten / gute Englischkenntnisse in Wort und Schrift / Teamfähigkeit / Kommunikationsstärke / hohe Leistungsbereitschaft / Eigenverantwortung / Belastbarkeit / Flexibilität / selbstständige Arbeitsweise
opentext	(5L) content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)	(5L)	content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)								Gute Kenntnisse des CMS (Opentext), HTML sowie Photoshop
otrs	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
panel-software	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
pps	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
pps/erp-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Gute Kenntnisse in der Nutzung eines PPS/ERP-Systems und MS-Office
pps-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
proalpha	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit ERP-Systemen (proAlpha wünschenswert), sowie in den Modulen Materialwirtschaft
q-managementsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrungen in Q-Managementsystemen (ISO 9000, VDA 6.1, QS 9000), insbesondere APQP, PPAP, SPC, FMEA u. 8D-Methode
qm-system	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in QM-Systemen
qualitätsmanagementsystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Qualitätsmanagementsystem
qualitätssicherungsprogramme	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Terminologieverwaltungsmodule, Qualitätssicherungsprogrammen und Projektmanagement Anwendungen
reporting-tool	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sicherer Umgang mit IT Systemen und Software (ERP, Office-Software, Reporting-Tools, Internetprogramme)
six sigma	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
start/amadeus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
START/AMADEUS	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
start/amadeus/merlin	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Start/Amadeus/Merlin
teamcent	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Idealerweise Kenntnisse in Teamcenter und E²
transporeon	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	logistik software (cloudbaisert)							NA
warenwirtschaftsprogammen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
warenwirtschaftsprogramm	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrung im Umgang mit Warenwirtschaftsprogrammen    Erfahrungen im Umgang mit einem Warenwirtschaftsprogramm sind von Vorteil
warenwirtschaftsprogrammen	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in Warenwirtschaftsprogrammen von Vorteil
warenwirtschaftssystem	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Anwendungssichere PC-Kenntnisse (MS-Office), idealerweise Erfahrung im Umgang mit Warenwirtschaftssystemen    Erfahrung im Umgang mit Warenwirtschaftssystemen    Einen sicheren Umgang mit Warenwirtschaftssystemen und den MS-Office-Produkten sowie die Bereitschaft kinospezifische Software zu erlernen    Sie haben Vorkenntnisse aus dem Einzel- oder Großhandel oder eine kaufmännische Ausbildung und verfügen über Kenntnisse in den Bereichen Warenwirtschaftssysteme, Datenbanken und Controlling.    Erfahrung im Umgang mit Warenwirtschaftssystemen und MS-Office    Kenntnisse im Warenwirtschaftssystem Navision wünschenswert    Sicherer Umgang mit MS-Office, Warenwirtschaftssystemen und Internet
warenwirtschaftssystema	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Umgang mit Warenwirtschaftssystemen werden erwartet
wws	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse im Warenwirtschaftssystem (WWS)
xt	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Kenntnisse in HTML, Fotobearbeitung, xt commerce sind wünschenswert.
xt-commerce	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Online-Shoppping							Erfahrungen im Umgang mit XT-Commerce    Zwingend erforderlich sind Erfahrungen im Umgang mit Contao, XT-Commerce und Magento.
amadeus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								NA
abacus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								» Simulation mit Hilfe von Abacus und Adams
abas-fop	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Wünschenswert: Linux Kenntnisse und Kenntnisse in abas-FOP
abrechnungssoftware	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Erfahrungen im Umgang mit einer Abrechnungssoftware (Loga) und einem Zeitwirtschaftssystem erleichtern Ihnen den Einstieg bei unserem Kunden.
adword	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Erfahrungen im Umgang mit ADwords, Web Analytic Tools und Affiliate Netzwerken
sap-hr	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								· Gute Kenntnisse im SAP-HR Customizing
sap-logistikmodul	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse in den SAP-Logistikmodulen WM/TRM oder EWM, Datenbanken und den Prozessen in der Logistik
sap-mm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse im Umgang mit SAP-MM und CIM Data Base (CDB)
sap-modul	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
sap-netweaver	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Sie können eine mehrjährige Erfahrung im Bereich SAP-NetWeaver sowie in in der Administration von SAP Basissystemen vorweisen.
sap-pdm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse in SAP, SAP-PDM, KANLOG, Lotus Notes
sap-programm	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Sie verfügen vorzugsweise über Kenntnisse im SAP-Programm und /oder speziell im SAP-Modul IS-H Med, um z.B.
sap-r/3	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
sap-r3	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
sap-r3.	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse der Office-Anwendungsprogramme, sowie Erfahrung in SAP-R3.
sap-system	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
sapv	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Wünschenswert sind Erfahrungen und Kenntnisse in SAPV - bei Interesse kann diese Weiterbildung auch über uns durchgeführt werden.
solution manager	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
terminplanungssoftware	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Gute Kenntnisse im Umgang mit Terminplanungssoftware
versionierungssystem	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Erfahrung im Umgang mit Versionierungssystemen (GIT)
versionsverwaltungssystem	(5L) content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)	(5L)	content-management-Systeme/ Redaktionssysteme (dtp, Dokumentenmanagement)								Vorteilhaft sind ferner Kenntnisse in Versionsverwaltungssystemen wie Subversion.    Vorteilhaft sind ferner Kenntnisse in Versionsverwaltungssystemen wie Subversion.
winsolvenz	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse im Umgang mit Winsolvenz wünschenswert
ws-*	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Spring, JEE, WS-* und ORM, Prozessrealisierungs- (BPMN, JBPM, Activiti, etc.)
wscad	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								NA
ws-cad	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	Software Elektrohandwerk							Kenntnisse in WS-CAD
x-haus	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Kenntnisse in X-Haus oder SAP FX von Vorteil
zeitarbeitssoftware	(5E) Branchen-SW	(5E)	Branchen-SW								NA
zeiterfassung	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								Pflege der internen Systeme (Kalender, CRM, Zeiterfassung, Serviceberichte)    Pflege der internen Systeme (Kalender, CRM, Zeiterfassung, Serviceberichte)
asbwin	(5M) Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)	(5M)	Verwaltungs-SW (u.a. Geschäftsprozesse, Ausschreibungs-SW)								gute bis sehr gute Kenntnisse AutoCAD, Ausschreibungsprogramme (ASBwin)
